Wall time,Step,Value
1616810335.8242784,1869,nan
1616810368.1590302,1875,nan
1616810373.3655763,1876,nan
1616810378.674973,1877,nan
1616810389.2848825,1879,nan
1616810399.851151,1881,nan
1616810462.593062,1893,nan
1616810509.4488559,1902,nan
1616810530.4637218,1906,nan
1616810556.4845161,1911,nan
1616810588.6109176,1917,nan
1616810620.6918921,1923,nan
1616810625.886618,1924,nan
1616810656.494969,1930,nan
1616810677.5528986,1934,nan
1616810688.1507635,1936,nan
1616810698.9664783,1938,nan
1616810730.6112874,1944,nan
1616810746.339694,1947,nan
1616810756.6144276,1949,nan
1616810772.667725,1952,nan
1616810788.8504949,1955,nan
1616810804.6017575,1958,nan
1616810815.412982,1960,nan
1616810851.2931285,1967,nan
1616810861.8721359,1969,nan
1616810925.3058467,1981,nan
1616810930.5993245,1982,nan
1616810935.9436054,1983,nan
1616811008.80124,1997,nan
1616811029.3912277,2001,nan
1616811049.0825107,2005,nan
1616811069.5349028,2009,nan
1616811075.1107702,2010,nan
1616811091.0029666,2013,nan
1616811101.5837293,2015,nan
1616811112.2015982,2017,nan
1616811153.648167,2025,nan
1616811164.544119,2027,nan
1616811180.7975366,2030,nan
1616811196.763971,2033,nan
1616811212.314071,2036,nan
1616811222.4605067,2038,nan
1616811238.2616112,2041,nan
1616811253.704818,2044,nan
1616811259.4361928,2045,nan
1616811337.3124294,2060,nan
1616811373.2088077,2067,nan
1616811398.762342,2072,nan
1616811404.442632,2073,nan
1616811409.516947,2074,nan
1616811419.944187,2076,nan
1616811425.347511,2077,nan
1616811436.0013113,2079,nan
1616811446.860413,2081,nan
1616811467.9154646,2085,nan
1616811488.4499147,2089,nan
1616811515.4537377,2094,nan
1616811526.776482,2096,nan
1616811563.3108919,2103,nan
1616811573.7031815,2105,nan
1616811578.96623,2106,nan
1616811594.7485266,2109,nan
1616811605.5608933,2111,nan
1616811626.650233,2115,nan
1616811642.1266236,2118,nan
1616811652.6636636,2120,nan
1616811663.0518646,2122,nan
1616811668.2912886,2123,nan
1616811721.3954916,2133,nan
1616811726.7519202,2134,nan
1616811747.6871572,2138,nan
1616811763.482925,2141,nan
1616811779.5512085,2144,nan
1616811784.9807131,2145,nan
1616811801.9155357,2148,nan
1616811807.415984,2149,nan
1616811818.1430988,2151,nan
1616811844.4761856,2156,nan
1616811850.3936007,2157,nan
1616811886.217444,2164,nan
1616811891.707643,2165,nan
1616811912.928409,2169,nan
1616811923.8183985,2171,nan
1616811934.6002111,2173,nan
1616811954.9711566,2177,nan
1616812008.252091,2187,nan
1616812018.8943539,2189,nan
1616812029.4820008,2191,nan
1616812035.0346744,2192,nan
1616812056.0459156,2196,nan
1616812071.7003455,2199,nan
1616812112.5967872,2207,nan
1616812133.5916786,2211,nan
1616812149.2700074,2214,nan
1616812205.3138642,2225,nan
1616812226.052285,2229,nan
1616812237.0152013,2231,nan
1616812251.7876916,2234,nan
1616812262.5409422,2236,nan
1616812267.3665912,2237,nan
1616812277.5364945,2239,nan
1616812288.3962963,2241,nan
1616812293.3377738,2242,nan
1616812304.3762245,2244,nan
1616812314.9209166,2246,nan
1616812320.2143638,2247,nan
1616812341.4746456,2251,nan
1616812346.9504611,2252,nan
1616812357.4269373,2254,nan
1616812373.0027578,2257,nan
1616812398.8911412,2262,nan
1616812462.7735674,2274,nan
1616812483.8503401,2278,nan
1616812499.2560031,2281,nan
1616812552.5159247,2291,nan
1616812583.1862657,2297,nan
1616812588.6933732,2298,nan
1616812599.1229944,2300,nan
1616812614.6472194,2303,nan
1616812630.8364537,2306,nan
1616812635.8587863,2307,nan
1616812641.3122876,2308,nan
1616812693.538329,2318,nan
1616812699.033011,2319,nan
1616812704.0420637,2320,nan
1616812714.0067964,2322,nan
1616812774.8274226,2334,nan
1616812779.8720129,2335,nan
1616812785.4203036,2336,nan
1616812789.8908792,2337,nan
1616812831.6158006,2345,nan
1616812878.6965663,2354,nan
1616812904.3081977,2359,nan
1616812946.6471155,2367,nan
1616812952.0165215,2368,nan
1616812968.381184,2371,nan
1616813025.6314495,2382,nan
1616813041.7617893,2385,nan
1616813057.4248276,2388,nan
1616813062.8116486,2389,nan
1616813068.4393718,2390,nan
1616813079.090638,2392,nan
1616813120.9938433,2400,nan
1616813131.3537893,2402,nan
1616813141.7934802,2404,nan
1616813152.3112636,2406,nan
1616813205.4600244,2416,nan
1616813247.4690523,2424,nan
1616813252.5916147,2425,nan
1616813278.5737891,2430,nan
1616813309.2658315,2436,nan
1616813350.7532456,2444,nan
1616813382.7205434,2450,nan
1616813387.8775327,2451,nan
1616813393.0763245,2452,nan
1616813398.1675932,2453,nan
1616813408.1918645,2455,nan
1616813434.7792947,2460,nan
1616813535.318805,2479,nan
1616813546.2232804,2481,nan
1616813566.423978,2485,nan
1616813572.0680494,2486,nan
1616813624.019209,2496,nan
1616813634.0117216,2498,nan
1616813650.0375047,2501,nan
1616813655.2211766,2502,nan
1616813660.2499452,2503,nan
1616813710.9343774,2513,nan
1616813716.580223,2514,nan
1616813732.6643271,2517,nan
1616813743.628313,2519,nan
1616813764.0262575,2523,nan
1616813774.028478,2525,nan
1616813789.455764,2528,nan
1616813799.3756244,2530,nan
1616813810.2658448,2532,nan
1616813820.8929713,2534,nan
1616813869.5496726,2543,nan
1616813890.0821652,2547,nan
1616813910.9591932,2551,nan
1616813921.2725275,2553,nan
1616813937.0911572,2556,nan
1616813953.2013063,2559,nan
1616813984.6784115,2565,nan
1616813989.7974956,2566,nan
1616814010.330482,2570,nan
1616814025.942842,2573,nan
1616814042.9423027,2576,nan
1616814053.8066394,2578,nan
1616814080.0749297,2583,nan
1616814100.9057825,2587,nan
1616814116.8994384,2590,nan
1616814122.2239854,2591,nan
1616814126.881724,2592,nan
1616814132.785841,2593,nan
1616814148.780861,2596,nan
1616814169.8657923,2600,nan
1616814201.62761,2606,nan
1616814206.942492,2607,nan
1616814221.519562,2610,nan
1616814263.964079,2618,nan
1616814289.6442742,2623,nan
1616814305.1024976,2626,nan
1616814320.381808,2629,nan
1616814325.5112116,2630,nan
1616814336.266237,2632,nan
1616814352.78183,2635,nan
1616814357.4173033,2636,nan
1616814368.3896387,2638,nan
1616814399.2431138,2644,nan
1616814415.0512397,2647,nan
1616814430.9606578,2650,nan
1616814436.4036407,2651,nan
1616814457.613307,2655,nan
1616814489.8772097,2661,nan
1616814557.877015,2674,nan
1616814579.1485922,2678,nan
1616814589.2984116,2680,nan
1616814615.4997172,2685,nan
1616814641.337516,2690,nan
1616814689.6363237,2699,nan
1616814710.1567676,2703,nan
1616814730.9726026,2707,nan
1616814747.3655148,2710,nan
1616814826.301085,2725,nan
1616814879.5796142,2735,nan
1616814885.0313408,2736,nan
1616814890.0485492,2737,nan
1616814905.3664045,2740,nan
1616814936.7846663,2746,nan
1616814968.8053436,2752,nan
1616814974.1417332,2753,nan
1616814979.1658556,2754,nan
1616814984.5798075,2755,nan
1616814989.801286,2756,nan
1616814994.924086,2757,nan
1616815000.239882,2758,nan
1616815042.3527784,2766,nan
1616815163.0368266,2789,nan
1616815168.6746984,2790,nan
1616815173.1512702,2791,nan
1616815209.6598556,2798,nan
1616815265.9071598,2809,nan
1616815276.712797,2811,nan
1616815297.802178,2815,nan
1616815339.2648246,2823,nan
1616815344.5789902,2824,nan
1616815360.378022,2827,nan
1616815371.2103035,2829,nan
1616815376.8397021,2830,nan
1616815387.6330044,2832,nan
1616815485.6777663,2851,nan
1616815511.4070282,2856,nan
1616815527.5718474,2859,nan
1616815543.6631227,2862,nan
1616815590.9620154,2871,nan
1616815595.9945943,2872,nan
1616815627.6913939,2878,nan
1616815638.5581834,2880,nan
1616815643.9879084,2881,nan
1616815675.7390182,2887,nan
1616815691.4052129,2890,nan
1616815696.5759017,2891,nan
1616815723.1175697,2896,nan
1616815733.7490013,2898,nan
1616815744.1295054,2900,nan
1616815759.594259,2903,nan
1616815764.842407,2904,nan
1616815806.6309466,2912,nan
1616815832.908177,2917,nan
1616815843.5907428,2919,nan
1616815848.2235167,2920,nan
1616815853.8617158,2921,nan
1616815908.7692213,2932,nan
1616815961.862268,2942,nan
1616816004.0320177,2950,nan
1616816092.9111235,2967,nan
1616816118.7130592,2972,nan
1616816129.284818,2974,nan
1616816135.0704806,2975,nan
1616816151.578554,2978,nan
1616816203.502482,2988,nan
1616816234.951473,2994,nan
1616816256.3938935,2998,nan
1616816282.5572255,3003,nan
1616816293.1949496,3005,nan
1616816303.5631278,3007,nan
1616816314.0899081,3009,nan
1616816324.7573168,3011,nan
1616816346.3990834,3015,nan
1616816351.8900566,3016,nan
1616816367.354317,3019,nan
1616816372.2649648,3020,nan
1616816378.0525053,3021,nan
1616816398.6697109,3025,nan
1616816409.383083,3027,nan
1616816425.3397305,3030,nan
1616816430.5522497,3031,nan
1616816440.962121,3033,nan
1616816467.937021,3038,nan
1616816478.8499393,3040,nan
1616816484.2119608,3041,nan
1616816489.5555904,3042,nan
1616816521.0123127,3048,nan
1616816531.4318855,3050,nan
1616816547.0607548,3053,nan
1616816595.7882931,3062,nan
1616816611.71923,3065,nan
1616816622.1790762,3067,nan
1616816632.537087,3069,nan
1616816642.7402153,3071,nan
1616816653.071375,3073,nan
1616816701.496509,3082,nan
1616816722.8316576,3086,nan
1616816733.1373127,3088,nan
1616816748.9663959,3091,nan
1616816791.4023774,3099,nan
1616816811.7114673,3103,nan
1616816832.7354233,3107,nan
1616816863.392231,3113,nan
1616816900.2010803,3120,nan
1616816910.9628494,3122,nan
1616816937.0921245,3127,nan
1616816971.6497707,3134,nan
1616816987.447788,3137,nan
1616816992.3057806,3138,nan
1616817018.456094,3143,nan
1616817023.8563554,3144,nan
1616817029.1356802,3145,nan
1616817039.3366358,3147,nan
1616817053.1535432,3150,nan
1616817079.8653212,3155,nan
1616817095.4617114,3158,nan
1616817100.595326,3159,nan
1616817111.1048443,3161,nan
1616817140.0307872,3167,nan
1616817192.3904788,3177,nan
1616817228.3962164,3184,nan
1616817244.1850631,3187,nan
1616817249.6688018,3188,nan
1616817286.0918508,3195,nan
1616817291.0971751,3196,nan
1616817296.450849,3197,nan
1616817301.5325065,3198,nan
1616817327.5240746,3203,nan
1616817343.368529,3206,nan
1616817469.407564,3230,nan
1616817485.063735,3233,nan
1616817495.722801,3235,nan
1616817520.8797712,3240,nan
1616817536.3537328,3243,nan
1616817541.545933,3244,nan
1616817552.4285204,3246,nan
1616817558.2066703,3247,nan
1616817595.966552,3254,nan
1616817606.4630263,3256,nan
1616817616.7026577,3258,nan
1616817663.386418,3267,nan
1616817689.7896345,3272,nan
1616817695.0028627,3273,nan
1616817726.0036557,3279,nan
1616817736.21069,3281,nan
1616817746.4515653,3283,nan
1616817757.1670249,3285,nan
1616817778.1549876,3289,nan
1616817794.2650483,3292,nan
1616817815.8449645,3296,nan
1616817861.9275901,3305,nan
1616817867.3111925,3306,nan
1616817871.7061038,3307,nan
1616817902.7553825,3313,nan
1616817945.234461,3321,nan
1616817965.9017928,3325,nan
1616817976.2197084,3327,nan
1616817981.2382998,3328,nan
1616817986.2701807,3329,nan
1616818007.2858782,3333,nan
1616818033.9596703,3338,nan
1616818069.985936,3345,nan
1616818112.1124692,3353,nan
1616818132.2530506,3357,nan
1616818153.2311208,3361,nan
1616818163.7437277,3363,nan
1616818194.975054,3369,nan
1616818210.940344,3372,nan
1616818221.3451197,3374,nan
1616818232.1312675,3376,nan
1616818242.5002153,3378,nan
1616818258.0820103,3381,nan
1616818268.5697088,3383,nan
1616818283.4389317,3386,nan
1616818303.8462203,3390,nan
1616818314.4739666,3392,nan
1616818346.0457773,3398,nan
1616818372.8216577,3403,nan
1616818378.141829,3404,nan
1616818398.2531824,3408,nan
1616818434.7691696,3415,nan
1616818492.690249,3426,nan
